,source,target,in heirarchy,out hierarchy,peak_probability = gsh,kernel_widths_pixels = gsw,in_size,out_size,in_channels,out_channels,out_sigma,kernel_widths_mm,gammas,padding,stride,output_padding,num_neurons_target,FF or FB
45,VISpl4,VISp4,2,1,0.3501691473733837,0.7601115071178474,16.0,32.0,15,106.0,2.0,0.0251940297523049,23878.323748747403,0,2,1,108623,FB
46,VISpl4,VISp2/3,2,1,0.2733941804512821,0.9357943712515404,16.0,32.0,15,169.0,2.0,0.031017069220207825,22531.922204474715,0,2,1,173253,FB
47,VISpl4,VISp5,2,1,0.312933373692892,0.7386141856034462,16.0,32.0,15,131.0,2.0,0.024481497245222725,18533.75266965627,0,2,1,134530,FB
48,VISrl2/3,VISrl5,2,2,0.16733836379893013,1.2147422331160196,16.0,16.0,88,74.0,1.0,0.08599641560742399,,1,1,0,19173,FF
49,VISrl2/3,VISpor4,2,3,0.04514724533644981,2.021824676780299,16.0,16.0,88,23.0,1.0,0.1054124016645231,13769.716329125695,2,1,0,5952,FF
50,VISrl2/3,VISrl4,2,2,0.2643563129734665,0.6073711165580098,16.0,16.0,88,56.0,1.0,0.11268101330088273,13591.511066564051,0,1,0,14360,FB
51,VISpl2/3,VISpl5,2,2,0.16733836379893013,1.2419056791460648,16.0,16.0,70,78.0,1.0,0.05320824471578945,,1,1,0,20041,FF
52,VISpl2/3,VISpor4,2,3,0.033394433614817254,1.1671457804664662,16.0,16.0,70,23.0,1.0,0.05952081064135492,13769.716329125695,1,1,0,5952,FF
53,VISpl2/3,VISpl4,2,2,0.2643563129734665,0.6209528395730324,16.0,16.0,70,15.0,1.0,0.0774802528835241,81516.46448975014,0,1,0,3912,FB
54,VISli2/3,VISli5,2,2,0.16733836379893013,1.5446295626865043,16.0,16.0,37,45.0,1.0,0.15738989339377624,,1,1,0,11611,FF
55,VISli2/3,VISpor4,2,3,0.01617547142497272,4.128751762996004,16.0,16.0,37,23.0,1.0,0.16928823452117547,13769.716329125695,4,1,0,5952,FF
56,VISli2/3,VISli4,2,2,0.2643563129734665,0.7723147813432522,16.0,16.0,37,21.0,1.0,0.17424760858182387,30078.616416398352,0,1,0,5620,FB
57,VISl2/3,VISl5,2,2,0.16733836379893013,1.052599894426479,16.0,16.0,87,81.0,1.0,0.175674420714065,,1,1,0,20826,FF
58,VISl2/3,VISpor4,2,3,0.014088631788584974,3.499627942333671,16.0,16.0,87,23.0,1.0,0.21056728600113586,13769.716329125695,3,1,0,5952,FF
59,VISl2/3,VISl4,2,2,0.2643563129734665,0.5262999472132395,16.0,16.0,87,60.0,1.0,0.18926266700515973,39176.42072589002,0,1,0,15501,FB
60,VISal2/3,VISal5,2,2,0.16733836379893013,1.3755630224938253,16.0,16.0,61,62.0,1.0,0.019587476557828505,,1,1,0,15939,FF
61,VISal2/3,VISpor4,2,3,0.8762151602370285,0.30009228502681623,16.0,16.0,61,23.0,1.0,0.013816774955107768,13769.716329125695,0,1,0,5952,FF
62,VISal2/3,VISal4,2,2,0.2643563129734665,0.6877815112469127,16.0,16.0,61,37.0,1.0,0.02218791495759148,13794.413969448395,0,1,0,9705,FB
63,VISpl5,VISpor4,2,3,0.05031971989391872,1.0584661356325138,16.0,16.0,78,23.0,1.0,0.05439202476654051,13769.716329125695,1,1,0,5952,FF
64,VISpl5,VISpl2/3,2,2,0.028678760219721974,1.8486953430523,16.0,16.0,78,70.0,1.0,0.051599000391357716,,1,1,0,17924,FB
65,VISli5,VISpor4,2,3,0.024941075935040073,3.750098560654312,16.0,16.0,45,23.0,1.0,0.1483654332326744,13769.716329125695,3,1,0,5952,FF
66,VISli5,VISli2/3,2,2,0.028678760219721974,2.401228881281633,16.0,16.0,45,37.0,1.0,0.17171827171487386,,2,1,0,9587,FB
67,VISl5,VISpor4,2,3,0.016852087885744278,3.7141445183204453,16.0,16.0,81,23.0,1.0,0.2154365750829239,13769.716329125695,3,1,0,5952,FF
68,VISl5,VISl2/3,2,2,0.028678760219721974,1.6378079214480123,16.0,16.0,81,87.0,1.0,0.20296094758147054,,1,1,0,22299,FB
69,VISrl5,VISpor4,2,3,0.04432477324645814,2.162568747137606,16.0,16.0,74,23.0,1.0,0.1103633651217537,13769.716329125695,2,1,0,5952,FF
70,VISrl5,VISrl2/3,2,2,0.028678760219721974,1.8615238014120459,16.0,16.0,74,88.0,1.0,0.11008152904441172,,1,1,0,22598,FB
71,VISal5,VISpor4,2,3,0.8326962465427798,0.33815211574895915,16.0,16.0,62,23.0,1.0,0.014870940711181129,13769.716329125695,0,1,0,5952,FF
72,VISal5,VISal2/3,2,2,0.028678760219721974,2.1602164664672125,16.0,16.0,62,61.0,1.0,0.027581838635379084,,2,1,0,15760,FB
73,VISpor4,VISpor2/3,3,3,0.1618247181204468,3.0893474761047313,16.0,16.0,23,119.0,1.0,0.07553342558177836,,3,1,0,30576,FF
74,VISpor4,VISp4,3,1,0.07514323902392088,1.67015446540334,16.0,32.0,23,106.0,2.0,0.07532600027874292,23878.323748747403,0,1,0,108623,FB
75,VISpor4,VISp2/3,3,1,0.058033512536463716,1.6520741192420194,16.0,32.0,23,169.0,2.0,0.07451055464889304,22531.922204474715,0,1,0,173253,FB
76,VISpor4,VISp5,3,1,0.06103189539956368,1.7554986141128908,16.0,32.0,23,131.0,2.0,0.07917512531636763,18533.75266965627,0,1,0,134530,FB
77,VISpor4,VISl4,3,2,0.06252926458558268,1.8328578360889596,16.0,16.0,23,60.0,1.0,0.08266412043438831,39176.42072589002,1,1,0,15501,FB
78,VISpor4,VISrl4,3,2,0.03706049137403743,1.9294847819516459,16.0,16.0,23,56.0,1.0,0.08702211336364053,13591.511066564051,1,1,0,14360,FB
79,VISpor4,VISli4,3,2,0.03700538102816542,1.8179273475010247,16.0,16.0,23,21.0,1.0,0.08199073721694743,30078.616416398352,1,1,0,5620,FB
80,VISpor4,VISpl4,3,2,0.038309295090098436,1.7992267219017148,16.0,16.0,23,15.0,1.0,0.08114731622907725,81516.46448975014,1,1,0,3912,FB
81,VISpor4,VISal4,3,2,0.06145664670668445,1.8587932364878925,16.0,16.0,23,37.0,1.0,0.0838338385761217,13794.413969448395,1,1,0,9705,FB
82,VISpor4,VISl2/3,3,2,0.06109287870648231,1.7747836593625217,16.0,16.0,23,87.0,1.0,0.08004490434216477,39771.2652911976,1,1,0,22299,FB
83,VISpor4,VISrl2/3,3,2,0.07332442381292034,1.5048535587631706,16.0,16.0,23,88.0,1.0,0.06787072808830702,15821.800906043505,1,1,0,22598,FB
84,VISpor4,VISli2/3,3,2,0.06174802918073391,1.7211660463236846,16.0,16.0,23,37.0,1.0,0.07762668469938844,24550.380602533038,1,1,0,9587,FB
85,VISpor4,VISpl2/3,3,2,0.04566464106805876,1.5453787973742419,16.0,16.0,23,70.0,1.0,0.06969846570069396,15301.855653821429,1,1,0,17924,FB
86,VISpor4,VISal2/3,3,2,0.10478592761330406,1.8428866010575191,16.0,16.0,23,61.0,1.0,0.08311642994734987,34184.07168833628,1,1,0,15760,FB
87,VISpor4,VISl5,3,2,0.04349115654695084,1.7264193560091072,16.0,16.0,23,81.0,1.0,0.07786361536360271,38059.28073018847,1,1,0,20826,FB
88,VISpor4,VISrl5,3,2,0.03346252282970964,1.4618014047838808,16.0,16.0,23,74.0,1.0,0.06592902351557381,8651.33471055345,1,1,0,19173,FB
89,VISpor4,VISli5,3,2,0.01919640421834754,2.1828929111597115,16.0,16.0,23,45.0,1.0,0.0984511285875424,31670.872657486518,2,1,0,11611,FB
90,VISpor4,VISpl5,3,2,0.04415605459644761,1.5740058585311778,16.0,16.0,23,78.0,1.0,0.07098958102047738,52399.95729366435,1,1,0,20041,FB
91,VISpor4,VISal5,3,2,0.08507878624087334,1.408190430634937,16.0,16.0,23,62.0,1.0,0.06351110329481639,20271.820121477984,1,1,0,15939,FB
92,VISpor2/3,VISpor5,3,3,0.16733836379893013,0.8599466290319185,16.0,16.0,119,118.0,1.0,0.22950428586045055,,0,1,0,30230,FF
93,VISpor2/3,VISpor4,3,3,0.2643563129734665,0.42997331451595927,16.0,16.0,119,23.0,1.0,0.22327139206368937,13769.716329125695,0,1,0,5952,FB
94,VISpor5,VISpor2/3,3,3,0.028678760219721974,1.3630076332818652,16.0,16.0,118,119.0,1.0,0.19040198232552014,,1,1,0,30576,FB
